iter	Passed	Remaining
0	143	143255
1	144	72004
2	145	48225
3	145	36352
4	146	29210
5	147	24450
6	148	21034
7	148	18471
8	149	16478
9	150	14889
10	151	13587
11	151	12503
12	152	11582
13	153	10797
14	154	10120
15	154	9526
16	155	9009
17	156	8543
18	157	8129
19	158	7759
20	159	7422
21	160	7117
22	161	6842
23	162	6591
24	163	6360
25	164	6147
26	165	5947
27	165	5758
28	166	5584
29	167	5425
30	169	5287
31	170	5142
32	170	5006
33	171	4876
34	172	4756
35	173	4646
36	174	4540
37	175	4437
38	176	4349
39	177	4262
40	178	4181
41	179	4098
42	180	4021
43	181	3949
44	182	3876
45	183	3807
46	184	3744
47	185	3681
48	186	3624
49	187	3571
50	189	3517
51	190	3464
52	191	3413
53	192	3364
54	192	3315
55	193	3267
56	194	3222
57	195	3177
58	196	3134
59	197	3096
60	198	3057
61	199	3019
62	200	2981
63	201	2946
64	202	2913
65	203	2882
66	204	2851
67	205	2820
68	206	2788
69	207	2757
70	208	2727
71	209	2698
72	210	2674
73	211	2647
74	212	2620
75	213	2596
76	214	2573
77	215	2549
78	216	2525
79	217	2502
80	218	2481
81	219	2458
82	220	2431
83	221	2410
84	222	2389
85	222	2369
86	223	2350
87	225	2332
88	225	2312
89	226	2294
90	227	2276
91	228	2258
92	230	2243
93	231	2226
94	231	2209
95	232	2192
96	233	2177
97	234	2161
98	235	2146
99	236	2132
100	237	2117
101	238	2102
102	239	2087
103	240	2072
104	241	2057
105	242	2044
106	243	2031
107	244	2017
108	245	2005
109	246	1992
110	247	1979
111	248	1967
112	249	1955
113	250	1943
114	250	1931
115	251	1918
116	252	1905
117	253	1894
118	254	1882
119	255	1870
120	255	1859
121	256	1847
122	257	1835
123	258	1825
124	259	1814
125	260	1806
126	261	1795
127	262	1785
128	263	1777
129	264	1767
130	265	1759
131	266	1750
132	267	1740
133	267	1731
134	268	1722
135	269	1713
136	270	1703
137	271	1694
138	272	1686
139	273	1677
140	274	1669
141	274	1660
142	275	1652
143	276	1644
144	277	1637
145	278	1631
146	279	1623
147	280	1617
148	281	1610
149	282	1602
150	283	1594
151	284	1587
152	285	1580
153	286	1573
154	287	1566
155	288	1559
156	289	1553
157	290	1547
158	291	1540
159	292	1533
160	292	1525
161	293	1519
162	294	1513
163	295	1506
164	296	1500
165	297	1494
166	298	1488
167	299	1482
168	300	1475
169	301	1469
170	302	1464
171	303	1458
172	303	1452
173	304	1446
174	305	1441
175	306	1435
176	307	1430
177	308	1425
178	309	1420
179	310	1414
180	311	1408
181	312	1403
182	313	1398
183	314	1393
184	315	1390
185	316	1385
186	317	1379
187	318	1376
188	319	1371
189	320	1366
190	321	1362
191	322	1357
192	323	1352
193	324	1347
194	325	1342
195	326	1337
196	326	1332
197	327	1327
198	328	1322
199	329	1317
200	330	1312
201	330	1307
202	331	1302
203	332	1298
204	333	1293
205	334	1288
206	335	1284
207	336	1279
208	336	1275
209	337	1271
210	338	1267
211	339	1262
212	340	1258
213	341	1254
214	342	1249
215	343	1245
216	343	1241
217	344	1236
218	345	1232
219	346	1228
220	347	1224
221	348	1220
222	349	1216
223	349	1212
224	350	1208
225	351	1204
226	352	1201
227	353	1197
228	354	1194
229	355	1190
230	356	1187
231	357	1183
232	358	1179
233	359	1176
234	360	1172
235	360	1168
236	361	1164
237	362	1161
238	363	1157
239	364	1154
240	365	1151
241	366	1148
242	367	1145
243	368	1141
244	370	1140
245	371	1137
246	371	1133
247	372	1130
248	373	1127
249	374	1124
250	375	1120
251	376	1117
252	377	1114
253	378	1110
254	379	1107
255	380	1105
256	381	1101
257	381	1098
258	382	1095
259	383	1092
260	384	1089
261	385	1086
262	386	1083
263	387	1080
264	388	1078
265	389	1075
266	390	1072
267	391	1069
268	392	1066
269	393	1063
270	394	1059
271	394	1057
272	395	1054
273	396	1051
274	397	1048
275	398	1045
276	399	1043
277	400	1040
278	401	1037
279	402	1034
280	403	1031
281	404	1028
282	404	1025
283	405	1022
284	406	1020
285	407	1017
286	408	1014
287	409	1012
288	410	1009
289	411	1006
290	412	1003
291	412	1001
292	413	998
293	414	996
294	415	993
295	416	990
296	417	988
297	418	985
298	419	983
299	420	980
300	421	977
301	421	975
302	422	972
303	423	969
304	424	967
305	425	964
306	426	962
307	427	959
308	428	957
309	429	955
310	430	953
311	430	950
312	431	947
313	432	945
314	433	942
315	434	940
316	435	937
317	436	935
318	436	932
319	437	930
320	438	927
321	439	924
322	439	922
323	440	920
324	441	917
325	442	915
326	443	912
327	444	910
328	445	908
329	446	906
330	447	904
331	448	901
332	449	899
333	450	897
334	450	895
335	451	893
336	452	890
337	453	888
338	454	886
339	455	884
340	456	882
341	457	879
342	458	877
343	458	875
344	459	872
345	460	870
346	461	868
347	462	865
348	463	863
349	463	861
350	464	859
351	465	857
352	466	855
353	467	853
354	468	850
355	469	848
356	470	846
357	471	844
358	472	842
359	473	840
360	474	839
361	474	837
362	475	835
363	476	833
364	477	831
365	478	829
366	479	827
367	480	825
368	481	823
369	482	821
370	483	819
371	484	817
372	485	815
373	485	813
374	486	811
375	487	809
376	488	807
377	489	805
378	490	803
379	491	801
380	492	799
381	493	797
382	494	796
383	495	794
384	495	792
385	496	790
386	497	788
387	498	786
388	500	785
389	501	783
390	501	781
391	502	779
392	503	777
393	504	776
394	505	774
395	506	772
396	507	770
397	508	768
398	509	766
399	509	764
400	510	762
401	511	760
402	512	759
403	513	757
404	514	755
405	514	753
406	515	751
407	516	749
408	517	747
409	518	746
410	519	744
411	520	742
412	521	741
413	522	739
414	523	737
415	523	735
416	524	733
417	525	732
418	527	730
419	527	729
420	528	727
421	529	725
422	530	723
423	531	721
424	532	720
425	533	718
426	534	716
427	535	715
428	535	713
429	536	711
430	537	709
431	538	708
432	539	706
433	540	704
434	541	703
435	542	701
436	543	699
437	544	698
438	545	696
439	546	695
440	547	693
441	548	692
442	549	690
443	550	689
444	551	687
445	552	685
446	553	684
447	554	682
448	554	680
449	555	679
450	556	677
451	557	675
452	558	674
453	559	673
454	560	671
455	561	669
456	562	668
457	563	666
458	564	665
459	565	663
460	566	661
461	566	660
462	567	658
463	568	656
464	569	655
465	570	653
466	571	651
467	572	650
468	573	648
469	574	647
470	574	645
471	575	644
472	576	642
473	577	641
474	578	639
475	579	637
476	580	636
477	581	634
478	582	633
479	583	631
480	583	630
481	584	628
482	585	627
483	586	625
484	587	624
485	588	622
486	589	621
487	590	619
488	591	618
489	592	616
490	593	615
491	594	614
492	595	612
493	596	611
494	597	609
495	598	608
496	599	606
497	600	604
498	600	603
499	601	601
500	602	600
501	603	598
502	604	597
503	605	595
504	606	594
505	607	593
506	608	591
507	609	590
508	610	588
509	611	587
510	612	585
511	613	584
