_id,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
662384e9ded39eba46dec432,female,group C,associate's degree,standard,completed,55,72,79
662384e9ded39eba46dec5c3,female,group D,master's degree,standard,none,92,100,100
662384e9ded39eba46dec447,female,group B,high school,standard,none,81,91,89
662384e9ded39eba46dec521,female,group E,associate's degree,free/reduced,completed,57,68,73
662384e9ded39eba46dec25b,female,group C,some college,standard,none,73,80,82
662384e9ded39eba46dec2f8,female,group D,high school,standard,none,56,52,55
662384e9ded39eba46dec4c0,female,group D,associate's degree,standard,completed,57,78,79
662384e9ded39eba46dec2a5,male,group D,associate's degree,free/reduced,none,66,62,64
662384e9ded39eba46dec412,male,group C,high school,standard,completed,53,52,49
662384e9ded39eba46dec229,male,group E,associate's degree,standard,completed,81,81,79
662384e9ded39eba46dec422,male,group C,high school,standard,completed,75,69,68
662384e9ded39eba46dec2b0,male,group A,high school,standard,completed,72,73,74
662384e9ded39eba46dec494,female,group B,some high school,standard,none,73,79,79
662384e9ded39eba46dec580,female,group E,some college,standard,completed,86,85,91
662384e9ded39eba46dec55f,female,group C,bachelor's degree,standard,none,65,79,81
662384e9ded39eba46dec555,male,group D,high school,standard,none,64,54,50
662384e9ded39eba46dec5b6,female,group B,high school,standard,none,58,68,61
662384e9ded39eba46dec4e3,male,group D,some high school,standard,none,55,47,44
662384e9ded39eba46dec265,male,group C,associate's degree,free/reduced,completed,78,81,82
662384e9ded39eba46dec439,female,group D,some college,free/reduced,completed,63,80,80
662384e9ded39eba46dec2f6,male,group D,high school,free/reduced,completed,73,68,66
662384e9ded39eba46dec4ec,female,group C,high school,standard,none,81,84,82
662384e9ded39eba46dec444,female,group E,high school,standard,none,74,81,71
662384e9ded39eba46dec4b8,female,group C,associate's degree,standard,none,49,53,53
662384e9ded39eba46dec3d2,male,group C,bachelor's degree,free/reduced,none,53,58,55
662384e9ded39eba46dec42f,male,group D,some college,free/reduced,none,77,62,64
662384e9ded39eba46dec57e,female,group D,some college,free/reduced,none,69,65,74
662384e9ded39eba46dec2d4,male,group E,bachelor's degree,standard,none,82,62,62
662384e9ded39eba46dec38e,male,group E,some college,standard,none,76,67,67
662384e9ded39eba46dec520,female,group B,high school,standard,none,42,52,51
662384e9ded39eba46dec393,female,group C,associate's degree,standard,none,85,89,95
662384e9ded39eba46dec504,female,group C,high school,standard,completed,58,75,77
662384e9ded39eba46dec556,female,group C,high school,standard,none,59,72,68
662384e9ded39eba46dec2df,female,group C,high school,free/reduced,none,34,42,39
662384e9ded39eba46dec20a,male,group C,some college,standard,none,76,78,75
662384e9ded39eba46dec506,female,group D,some high school,standard,none,68,71,75
662384e9ded39eba46dec488,female,group B,some high school,free/reduced,none,72,81,79
662384e9ded39eba46dec5a7,female,group C,some high school,free/reduced,none,48,56,51
662384e9ded39eba46dec46a,male,group C,bachelor's degree,standard,completed,94,90,91
662384e9ded39eba46dec4e8,male,group D,associate's degree,standard,none,81,71,73
662384e9ded39eba46dec428,female,group A,some high school,standard,completed,92,100,97
662384e9ded39eba46dec4db,male,group E,some college,standard,completed,81,74,71
662384e9ded39eba46dec4b1,female,group C,some high school,free/reduced,completed,29,40,44
662384e9ded39eba46dec268,female,group D,some college,free/reduced,none,58,67,62
662384e9ded39eba46dec52a,female,group C,some college,standard,none,73,76,78
662384e9ded39eba46dec4dd,male,group E,some high school,standard,completed,68,51,57
662384e9ded39eba46dec443,female,group C,high school,free/reduced,completed,50,66,64
662384e9ded39eba46dec39c,male,group B,associate's degree,standard,completed,65,65,63
662384e9ded39eba46dec3fc,male,group C,some college,free/reduced,none,63,61,54
662384e9ded39eba46dec235,female,group C,high school,standard,none,66,71,76
662384e9ded39eba46dec226,female,group E,master's degree,free/reduced,none,56,72,65
662384e9ded39eba46dec511,male,group E,associate's degree,standard,completed,94,85,82
662384e9ded39eba46dec54d,female,group C,associate's degree,standard,none,66,77,73
662384e9ded39eba46dec2ce,female,group C,associate's degree,standard,completed,67,84,86
662384e9ded39eba46dec28c,male,group D,bachelor's degree,free/reduced,completed,74,79,75
662384e9ded39eba46dec221,female,group C,bachelor's degree,standard,none,67,69,75
662384e9ded39eba46dec576,male,group C,bachelor's degree,standard,completed,63,64,66
662384e9ded39eba46dec2ec,male,group D,some college,standard,none,76,64,66
662384e9ded39eba46dec3ef,male,group A,associate's degree,free/reduced,completed,79,82,82
662384e9ded39eba46dec50a,female,group B,some high school,free/reduced,completed,52,67,72
662384e9ded39eba46dec380,female,group A,some high school,standard,none,71,83,77
662384e9ded39eba46dec326,male,group B,bachelor's degree,free/reduced,none,88,75,76
662384e9ded39eba46dec3a8,male,group D,some college,standard,none,68,59,62
662384e9ded39eba46dec4a8,female,group D,high school,standard,completed,69,77,78
662384e9ded39eba46dec38d,female,group D,some college,standard,none,77,68,77
662384e9ded39eba46dec456,male,group E,bachelor's degree,standard,none,68,68,64
662384e9ded39eba46dec3f8,female,group B,some high school,standard,none,66,69,68
